Date,Open,High,Low,Close,Volume
2018-12-20,330.45,335.73,323.12,328.73,26941
2018-12-21,325.23,327.68,316.44,321.64,30640
2018-12-24,317.73,325.14,312.23,322.23,19110
2018-12-25,316.45,321.73,307.84,320.02,26593
2018-12-26,318.04,322.63,312.23,314.31,17866
2018-12-27,324.23,326.08,316.45,317.23,29494
2018-12-28,317.53,350.63,314.23,344.24,63678
2019-01-02,364.21,366.23,349.24,353.21,62286
2019-01-03,354.2,355.89,340.03,344.23,30977
2019-01-04,341.51,361.9,336.25,356.23,37683
2019-01-07,362.23,366.23,356.45,359.72,34750
2019-01-08,359.73,366.23,354.51,359.02,28838
2019-01-09,364.22,380.39,363.27,370.35,49892
2019-01-10,371.36,379.11,364.48,373.0,29044
2019-01-11,379.23,391.23,372.98,390.11,38884
2019-01-14,387.23,390.12,375.78,378.83,25649
2019-01-15,382.09,415.73,379.23,414.21,55765
2019-01-16,412.23,419.88,407.83,415.33,42084
2019-01-17,417.23,423.93,410.03,413.48,30285
2019-01-18,419.23,444.43,415.73,437.84,68609
2019-01-21,444.23,453.11,436.11,441.21,47052
2019-01-22,440.23,440.23,419.45,425.23,42122
2019-01-23,421.45,428.73,417.36,419.89,33625
2019-01-24,424.53,432.06,418.91,426.73,29155
2019-01-25,430.11,439.13,424.16,433.93,28986
2019-01-28,438.23,448.21,430.26,431.23,36103
2019-01-29,431.73,442.23,422.23,439.23,30343
2019-01-30,439.22,440.45,430.23,430.23,22700
2019-01-31,434.23,443.83,431.79,443.83,36697
2019-02-01,451.27,453.23,443.84,446.9,30521
2019-02-11,449.23,483.73,442.41,479.53,58141
2019-02-12,477.23,479.72,469.43,472.15,35091
2019-02-13,477.23,490.39,471.45,489.48,35677
2019-02-14,485.43,497.89,484.37,491.39,32258
2019-02-15,489.11,489.11,477.25,479.01,23238
2019-02-18,485.23,499.18,485.23,494.23,37746
2019-02-19,495.19,496.73,480.89,484.99,29502
2019-02-20,489.23,489.23,470.29,476.23,37882
2019-02-21,474.23,484.71,471.23,474.48,29850
2019-02-22,471.23,482.72,468.33,480.24,25909
2019-02-25,484.98,498.67,472.22,496.56,82623
2019-02-26,502.03,503.41,480.23,481.58,57965
2019-02-27,487.23,512.25,485.23,494.93,65942
2019-02-28,492.13,517.65,491.18,509.24,56986
2019-03-01,515.73,544.23,515.23,543.53,63840
2019-03-04,549.23,552.56,531.45,536.09,84586
2019-03-05,539.23,543.78,530.11,534.01,44831
2019-03-06,529.23,533.73,520.11,522.23,46731
2019-03-07,516.45,516.45,499.79,502.83,60181
2019-03-08,492.13,501.06,487.88,491.73,52275
2019-03-11,494.27,521.18,494.27,512.77,53057
2019-03-12,518.05,518.06,493.23,499.24,52510
2019-03-13,499.73,514.98,499.73,508.23,40561
2019-03-14,511.23,539.23,508.23,532.23,62173
