Date,Open,High,Low,Close,Volume
2018-09-04,14.14785372,14.37027384,14.05759628,14.35093296,5957430
2018-09-05,14.20909984,14.34770948,13.69979,13.69979,8285524
2018-09-06,13.69979,13.9254336,13.5547334,13.7320248,4691589
2018-09-07,13.95444492,14.20909984,13.7481422,13.80294136,6876474
2018-09-10,13.85451704,14.00279712,13.2646202,13.45158204,5293319
2018-09-11,13.3935594,13.49348728,13.18725668,13.38388896,3522314
2018-09-12,13.21949148,13.69979,13.12278708,13.55150992,5587593
2018-09-13,13.76748308,13.8770814,13.56762732,13.83517616,5544831
2018-09-14,14.25100508,14.6507166,14.25100508,14.44441388,10533703
2018-09-17,14.183312,14.65394008,14.022138,14.44441388,8519487
2018-09-18,14.23811116,14.61525832,14.1994294,14.53144784,6812547
2018-09-19,14.5378948,15.27284824,14.4089556,15.13746208,13001123
2018-09-20,15.13746208,15.31153,14.8118906,14.8118906,8202530
2018-09-21,15.31153,15.714465,15.0214168,15.15357948,16241236
2018-09-25,15.2470604,15.6822302,15.2470604,15.5371736,10244705
2018-09-26,15.68545368,15.7789346,15.40178744,15.55651448,9968182
2018-09-27,15.633878,15.6661128,15.31153,15.4082344,6277425
2018-09-28,15.472704,15.88530944,15.4404692,15.8272868,7687114
2018-10-08,15.150356,15.4565866,14.96339416,15.0052994,11138904
2018-10-09,15.02464028,15.3437648,15.02464028,15.17936732,4162304
2018-10-10,15.2631778,15.33087088,14.6507166,14.79899668,8821547
2018-10-11,14.31547468,14.56368264,13.75458916,13.80294136,11979539
2018-10-12,13.92865708,15.0858864,13.92865708,14.96339416,12920513
2018-10-15,15.01496984,15.4243518,14.9247124,15.12779164,9543135
2018-10-16,15.1342386,15.29863608,14.59591744,14.81511408,6469709
2018-10-17,15.0536516,15.36310568,14.78932624,15.25028388,11026262
2018-10-18,15.150356,15.2470604,14.73452708,14.88603064,8386495
2018-10-19,14.53144784,15.23738996,14.183312,15.15680296,11998553
2018-10-22,15.34698828,16.1818696,15.33087088,16.12062348,16894490
2018-10-23,16.0690478,16.11417652,15.2470604,15.62098408,11535817
2018-10-24,15.5694084,16.03358952,15.47592748,15.72091196,10453687
2018-10-25,15.2631778,16.036813,15.11489772,15.9884608,11084735
2018-10-26,16.11417652,16.16252872,15.46625704,15.67255976,7678049
2018-10-29,15.67578324,15.78860504,15.1181212,15.27284824,6928376
2018-10-30,15.2954126,15.38889352,14.46697824,14.99885244,9648676
2018-10-31,14.96984112,15.2954126,14.8602428,15.08266292,6115922
2018-11-01,15.22449604,15.31153,14.49921304,14.7313036,10901961
2018-11-02,14.9730646,15.5210562,14.7313036,15.47915096,13915635
2018-11-05,15.472704,15.83373376,15.2148256,15.553291,11008811
2018-11-06,15.52750316,15.53072664,15.1181212,15.35343524,5565795
2018-11-07,15.0214168,15.4888214,15.01819332,15.230943,6952911
2018-11-08,15.36955264,15.9723434,15.36955264,15.78860504,14215855
2018-11-09,15.7305824,16.40428972,15.57907884,16.1174,14677306
2018-11-12,16.11095304,16.7943308,16.0206956,16.63638028,13371184
